event_type,latitude,longitude,endlatitude,endlongitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,modified_datetime,description,veh_type,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,police_station,closed_datetime,resolved_datetime,gba_identifier,zone,junction
unplanned,13.0400041,77.5180991,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2024-03-07 17:01:48.111000+00:00,closed,yes,2024-03-07 19:35:47.871698+00:00,s m circle in coming  man track,lcv,Tumkur Road,High,,,,2024-03-07 17:03:51.164032+00:00,Peenya,,,Unknown,Unknown,Unknown
unplanned,12.9218755,77.6451585,12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,resolved,yes,2024-01-30 04:17:46.828979+00:00,Starting problem,heavy_vehicle,ORR East 1,High,,,,2024-01-30 04:08:22.954979+00:00,HSR Layout,,2024-01-30 04:17:46.828355+00:00,Unknown,Unknown,Unknown
unplanned,12.955622,77.5857083,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",others,False,2023-11-11 06:18:03.343000+00:00,closed,yes,2024-01-30 04:56:03.282003+00:00,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,not_applicable,Non-corridor,Low,,,,2023-11-11 06:20:00.989398+00:00,Wilson Garden,2024-01-30 04:56:03.281509+00:00,,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction
unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,True,2024-03-07 17:56:55.061000+00:00,closed,yes,2024-03-14 07:42:05.550050+00:00,tree fall,not_applicable,Non-corridor,Low,,,,2024-03-07 17:58:56.696892+00:00,Sadashivanagar,2024-03-14 07:42:05.549440+00:00,,Unknown,Unknown,Unknown
unplanned,12.95398,77.5852333,12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,closed,yes,2024-01-30 05:35:17.339080+00:00,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,Non-corridor,Low,,,,2024-01-30 04:58:55.937662+00:00,Wilson Garden,2024-01-30 05:35:17.338283+00:00,,Unknown,Unknown,LalbaghMainGateJunc
unplanned,13.0664854,77.5998755,13.0664854,77.5998755,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",accident,False,2023-11-28 03:07:27.292421+00:00,closed,yes,2023-11-28 04:35:48.241160+00:00,,not_applicable,Non-corridor,Low,,,,2023-11-28 03:08:23.242047+00:00,Hebbala,,,Bengaluru North Corporation,North Zone 1,Unknown
unplanned,12.9328703,77.4879814,12.9328703,77.4879814,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",vehicle_breakdown,False,2024-01-30 07:26:26.739000+00:00,closed,yes,2024-01-30 09:35:47.912868+00:00,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Non-corridor,Low,,,,2024-01-30 07:28:18.053017+00:00,Kengeri,,,Unknown,Unknown,Unknown
unplanned,12.973175,77.6003961,12.973175,77.6003961,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,False,2024-01-30 06:05:59.339000+00:00,closed,yes,2024-02-16 01:28:18.331081+00:00,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,not_applicable,Non-corridor,Low,,,,2024-01-30 06:08:11.015846+00:00,Cubbon Park,2024-02-16 01:28:18.330429+00:00,,Unknown,Unknown,Unknown
planned,12.97883573,77.59953728,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",public_event,False,2024-02-12 02:05:46+00:00,closed,yes,2024-02-12 14:05:46.017066+00:00,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",not_applicable,CBD 2,High,,,,2024-01-30 05:09:41.077868+00:00,Cubbon Park,,,Unknown,Unknown,QueensStatueCircle
unplanned,13.0373543,77.6540442,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",vehicle_breakdown,False,2024-01-30 05:25:50.078000+00:00,closed,yes,2024-01-30 07:35:47.963222+00:00,,lcv,Non-corridor,Low,,,,2024-01-30 05:26:53.362158+00:00,Hennuru,,,Unknown,Unknown,Unknown
